nodelist=n23m[0198,0204-0206]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 413611.435496  Avg time (s): 0.245089  Total time (s): 98.035758
[MEMUSAGE] Total Memory Consumption (max_rss): 167313.453 MiB
[MEMUSAGE] Rank 0:	 870.879 MiB
[MEMUSAGE] Rank 44:	 875.250 MiB
[MEMUSAGE] Rank 45:	 873.031 MiB
[MEMUSAGE] Rank 46:	 870.984 MiB
[MEMUSAGE] Rank 47:	 870.840 MiB
[MEMUSAGE] Rank 48:	 870.855 MiB
[MEMUSAGE] Rank 49:	 871.305 MiB
[MEMUSAGE] Rank 50:	 871.305 MiB
[MEMUSAGE] Rank 51:	 871.004 MiB
[MEMUSAGE] Rank 52:	 871.215 MiB
[MEMUSAGE] Rank 53:	 871.180 MiB
[MEMUSAGE] Rank 54:	 873.125 MiB
[MEMUSAGE] Rank 55:	 871.148 MiB
[MEMUSAGE] Rank 56:	 871.172 MiB
[MEMUSAGE] Rank 57:	 871.164 MiB
[MEMUSAGE] Rank 58:	 873.305 MiB
[MEMUSAGE] Rank 59:	 871.141 MiB
[MEMUSAGE] Rank 60:	 869.285 MiB
[MEMUSAGE] Rank 61:	 869.152 MiB
[MEMUSAGE] Rank 62:	 871.406 MiB
[MEMUSAGE] Rank 63:	 871.250 MiB
[MEMUSAGE] Rank 64:	 870.988 MiB
[MEMUSAGE] Rank 65:	 871.055 MiB
[MEMUSAGE] Rank 66:	 871.203 MiB
[MEMUSAGE] Rank 67:	 871.160 MiB
[MEMUSAGE] Rank 68:	 871.250 MiB
[MEMUSAGE] Rank 69:	 871.086 MiB
[MEMUSAGE] Rank 70:	 873.297 MiB
[MEMUSAGE] Rank 71:	 871.074 MiB
[MEMUSAGE] Rank 72:	 871.156 MiB
[MEMUSAGE] Rank 73:	 871.199 MiB
[MEMUSAGE] Rank 74:	 869.207 MiB
[MEMUSAGE] Rank 75:	 871.203 MiB
[MEMUSAGE] Rank 76:	 871.188 MiB
[MEMUSAGE] Rank 77:	 871.266 MiB
[MEMUSAGE] Rank 78:	 871.145 MiB
[MEMUSAGE] Rank 79:	 871.262 MiB
[MEMUSAGE] Rank 80:	 871.113 MiB
[MEMUSAGE] Rank 81:	 871.188 MiB
[MEMUSAGE] Rank 82:	 871.039 MiB
[MEMUSAGE] Rank 83:	 872.750 MiB
[MEMUSAGE] Rank 84:	 871.016 MiB
[MEMUSAGE] Rank 85:	 871.133 MiB
[MEMUSAGE] Rank 86:	 871.074 MiB
[MEMUSAGE] Rank 87:	 870.914 MiB
[MEMUSAGE] Rank 88:	 871.074 MiB
[MEMUSAGE] Rank 89:	 870.895 MiB
[MEMUSAGE] Rank 90:	 869.035 MiB
[MEMUSAGE] Rank 91:	 873.098 MiB
[MEMUSAGE] Rank 92:	 871.004 MiB
[MEMUSAGE] Rank 93:	 871.156 MiB
[MEMUSAGE] Rank 94:	 871.172 MiB
