nodelist=r23m[0164-0167]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 414664.859986  Avg time (s): 0.244467  Total time (s): 244.466763
[MEMUSAGE] Total Memory Consumption (max_rss): 167262.219 MiB
[MEMUSAGE] Rank 0:	 869.062 MiB
[MEMUSAGE] Rank 54:	 871.207 MiB
[MEMUSAGE] Rank 55:	 871.023 MiB
[MEMUSAGE] Rank 56:	 872.926 MiB
[MEMUSAGE] Rank 57:	 873.328 MiB
[MEMUSAGE] Rank 58:	 870.957 MiB
[MEMUSAGE] Rank 59:	 870.984 MiB
[MEMUSAGE] Rank 60:	 871.020 MiB
[MEMUSAGE] Rank 61:	 870.918 MiB
[MEMUSAGE] Rank 62:	 870.754 MiB
[MEMUSAGE] Rank 63:	 871.176 MiB
[MEMUSAGE] Rank 64:	 873.094 MiB
[MEMUSAGE] Rank 65:	 871.090 MiB
[MEMUSAGE] Rank 66:	 870.992 MiB
[MEMUSAGE] Rank 67:	 871.207 MiB
[MEMUSAGE] Rank 68:	 871.105 MiB
[MEMUSAGE] Rank 69:	 870.988 MiB
[MEMUSAGE] Rank 70:	 871.109 MiB
[MEMUSAGE] Rank 71:	 871.094 MiB
[MEMUSAGE] Rank 72:	 871.137 MiB
[MEMUSAGE] Rank 73:	 871.031 MiB
[MEMUSAGE] Rank 74:	 871.141 MiB
[MEMUSAGE] Rank 75:	 871.301 MiB
[MEMUSAGE] Rank 76:	 871.289 MiB
[MEMUSAGE] Rank 77:	 869.027 MiB
[MEMUSAGE] Rank 78:	 871.082 MiB
[MEMUSAGE] Rank 79:	 871.133 MiB
[MEMUSAGE] Rank 80:	 871.227 MiB
[MEMUSAGE] Rank 81:	 871.016 MiB
[MEMUSAGE] Rank 82:	 871.117 MiB
[MEMUSAGE] Rank 83:	 870.930 MiB
[MEMUSAGE] Rank 84:	 870.914 MiB
[MEMUSAGE] Rank 85:	 870.848 MiB
[MEMUSAGE] Rank 86:	 872.938 MiB
[MEMUSAGE] Rank 87:	 870.879 MiB
[MEMUSAGE] Rank 88:	 871.156 MiB
[MEMUSAGE] Rank 89:	 871.051 MiB
[MEMUSAGE] Rank 90:	 871.051 MiB
[MEMUSAGE] Rank 91:	 870.988 MiB
[MEMUSAGE] Rank 92:	 873.012 MiB
[MEMUSAGE] Rank 93:	 870.961 MiB
[MEMUSAGE] Rank 94:	 871.043 MiB
[MEMUSAGE] Rank 95:	 870.820 MiB
[MEMUSAGE] Rank 96:	 871.074 MiB
[MEMUSAGE] Rank 97:	 873.020 MiB
[MEMUSAGE] Rank 98:	 873.191 MiB
[MEMUSAGE] Rank 99:	 871.180 MiB
[MEMUSAGE] Rank 100:	 871.141 MiB
