nodelist=r23m[0068-0075]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 827516.816750  Avg time (s): 0.245007  Total time (s): 245.007122
[MEMUSAGE] Total Memory Consumption (max_rss): 335415.113 MiB
[MEMUSAGE] Rank 0:	 873.375 MiB
[MEMUSAGE] Rank 209:	 873.484 MiB
[MEMUSAGE] Rank 210:	 873.637 MiB
[MEMUSAGE] Rank 211:	 873.535 MiB
[MEMUSAGE] Rank 212:	 873.770 MiB
[MEMUSAGE] Rank 213:	 873.340 MiB
[MEMUSAGE] Rank 214:	 873.477 MiB
[MEMUSAGE] Rank 215:	 873.281 MiB
[MEMUSAGE] Rank 216:	 871.391 MiB
[MEMUSAGE] Rank 217:	 873.488 MiB
[MEMUSAGE] Rank 218:	 873.484 MiB
[MEMUSAGE] Rank 219:	 873.383 MiB
[MEMUSAGE] Rank 220:	 873.555 MiB
[MEMUSAGE] Rank 221:	 873.355 MiB
[MEMUSAGE] Rank 222:	 875.590 MiB
[MEMUSAGE] Rank 223:	 875.188 MiB
[MEMUSAGE] Rank 224:	 873.555 MiB
[MEMUSAGE] Rank 225:	 873.336 MiB
[MEMUSAGE] Rank 226:	 875.359 MiB
[MEMUSAGE] Rank 227:	 873.414 MiB
[MEMUSAGE] Rank 228:	 873.359 MiB
[MEMUSAGE] Rank 229:	 873.102 MiB
[MEMUSAGE] Rank 230:	 873.500 MiB
[MEMUSAGE] Rank 231:	 873.133 MiB
[MEMUSAGE] Rank 232:	 873.297 MiB
[MEMUSAGE] Rank 233:	 873.152 MiB
[MEMUSAGE] Rank 234:	 873.336 MiB
[MEMUSAGE] Rank 235:	 873.332 MiB
[MEMUSAGE] Rank 236:	 873.180 MiB
[MEMUSAGE] Rank 237:	 873.320 MiB
[MEMUSAGE] Rank 238:	 873.195 MiB
