nodelist=n23m[0147-0148,0150-0158]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6320691 (per dom)  ( 121.13835 overall)
FOM                  =  194523.77 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81384.562 MiB
[MEMUSAGE] Rank 411:	 159.082 MiB
[MEMUSAGE] Rank 412:	 159.031 MiB
[MEMUSAGE] Rank 413:	 158.887 MiB
[MEMUSAGE] Rank 414:	 159.039 MiB
[MEMUSAGE] Rank 415:	 158.820 MiB
[MEMUSAGE] Rank 416:	 158.754 MiB
[MEMUSAGE] Rank 417:	 158.801 MiB
[MEMUSAGE] Rank 418:	 158.848 MiB
[MEMUSAGE] Rank 419:	 156.809 MiB
[MEMUSAGE] Rank 420:	 156.949 MiB
[MEMUSAGE] Rank 421:	 158.887 MiB
[MEMUSAGE] Rank 422:	 159.020 MiB
[MEMUSAGE] Rank 423:	 158.969 MiB
[MEMUSAGE] Rank 424:	 158.855 MiB
[MEMUSAGE] Rank 425:	 161.051 MiB
[MEMUSAGE] Rank 426:	 158.980 MiB
[MEMUSAGE] Rank 427:	 158.910 MiB
[MEMUSAGE] Rank 428:	 159.137 MiB
[MEMUSAGE] Rank 429:	 159.094 MiB
[MEMUSAGE] Rank 430:	 157.062 MiB
[MEMUSAGE] Rank 431:	 158.938 MiB
[MEMUSAGE] Rank 432:	 161.020 MiB
[MEMUSAGE] Rank 433:	 158.770 MiB
[MEMUSAGE] Rank 434:	 160.965 MiB
[MEMUSAGE] Rank 435:	 162.738 MiB
[MEMUSAGE] Rank 436:	 159.109 MiB
[MEMUSAGE] Rank 437:	 158.812 MiB
[MEMUSAGE] Rank 438:	 158.824 MiB
[MEMUSAGE] Rank 439:	 158.719 MiB
[MEMUSAGE] Rank 440:	 160.844 MiB
[MEMUSAGE] Rank 441:	 158.707 MiB
[MEMUSAGE] Rank 442:	 158.566 MiB
[MEMUSAGE] Rank 443:	 158.703 MiB
[MEMUSAGE] Rank 444:	 158.996 MiB
[MEMUSAGE] Rank 445:	 158.773 MiB
[MEMUSAGE] Rank 446:	 160.727 MiB
[MEMUSAGE] Rank 447:	 158.715 MiB
[MEMUSAGE] Rank 448:	 158.844 MiB
[MEMUSAGE] Rank 449:	 158.723 MiB
[MEMUSAGE] Rank 450:	 162.695 MiB
[MEMUSAGE] Rank 451:	 158.574 MiB
[MEMUSAGE] Rank 452:	 158.637 MiB
[MEMUSAGE] Rank 453:	 158.773 MiB
[MEMUSAGE] Rank 454:	 158.566 MiB
[MEMUSAGE] Rank 455:	 158.672 MiB
[MEMUSAGE] Rank 456:	 158.680 MiB
[MEMUSAGE] Rank 457:	 158.770 MiB
[MEMUSAGE] Rank 458:	 158.691 MiB
[MEMUSAGE] Rank 459:	 158.867 MiB
[MEMUSAGE] Rank 460:	 158.906 MiB
